Year,Date,rainfall,tmax,tmin,vapourpres_h09,vapourpres_h15
1910,19100426,0.359375,21.73632813,10.58691406,,
1910,19100427,6.366210938,19.44628906,14.26660156,,
1910,19100428,0.279296875,19.48632813,8.796875,,
1910,19100429,0,20.55566406,9.436523438,,
1910,19100430,0,21.56640625,9.697265625,,
1910,19100501,0,22.3359375,12.84863281,,
1910,19100502,0,21.52636719,10.30859375,,
1910,19100503,0,24.19628906,12.00878906,,
1910,19100504,0,24.20605469,13.97851563,,
1910,19100505,4.486328125,22.49609375,14.73925781,,
1910,19100506,8.84765625,20.29589844,14.05859375,,
1910,19100507,5.061523438,17.02636719,8.37890625,,
1910,19100508,0.327148438,20.31640625,8.19921875,,
1910,19100509,0.172851563,19.96582031,11.54882813,,
1910,19100510,19.96777344,19.17578125,13.72851563,,
1910,19100511,6.331054688,19.92578125,13.00878906,,
1910,19100512,1.250976563,21.56640625,9.62890625,,
1910,19100513,0,20.16601563,11.41894531,,
1910,19100514,1.223632813,20.52636719,12.76855469,,
1910,19100515,8.758789063,19.10644531,11.0390625,,
1910,19100516,18.84277344,18.63574219,11.49902344,,
1910,19100517,5.413085938,18.42578125,11.609375,,
1910,19100518,1.161132813,21.15625,13.30859375,,
1910,19100519,9.674804688,19.57617188,13.72851563,,
1910,19100520,0,22.28613281,11.57910156,,
1910,19100521,29.4296875,19.89648438,13.13867188,,
1910,19100522,17.47460938,17.97558594,11.49902344,,
1910,19100523,15.09667969,18.38574219,11.33886719,,
1910,19100524,29.62988281,14.31640625,8.439453125,,
1910,19100525,16.58691406,16.70605469,5.19921875,,
1910,19100526,0.94921875,18.79589844,9.749023438,,
1910,19100527,6.552734375,17.14648438,11.359375,,
1910,19100528,0.021484375,17.75585938,7.119140625,,
1910,19100529,0,18.66601563,6.7890625,,
1910,19100530,0,20.17578125,8.588867188,,
1910,19100531,0,20.85644531,7.87890625,,
1910,19100601,0,22.09960938,10.29882813,,
1910,19100602,0,22.30957031,12.18945313,,
1910,19100603,0,23.15039063,13.08886719,,
1910,19100604,6.565429688,16.05957031,11.97851563,,
1910,19100605,38.13476563,16.12011719,11.31933594,,
1910,19100606,12.68847656,15.16015625,8.19921875,,
1910,19100607,6.798828125,14.75976563,8.359375,,
1910,19100608,7.538085938,14.63964844,6.7890625,,
1910,19100609,0.015625,14.66992188,5.609375,,
1910,19100610,0,16.83007813,6.508789063,,
1910,19100611,1.740234375,17.09960938,9.909179688,,
1910,19100612,2.569335938,18.37011719,10.17871094,,
1910,19100613,11.86035156,17.65039063,11.24902344,,
1910,19100614,2.256835938,18.4296875,8.428710938,,
1910,19100615,0,20.04980469,7.869140625,,
1910,19100616,8.439453125,16.16992188,10.95898438,,
1910,19100617,18.12890625,14.84960938,7.708984375,,
1910,19100618,2.412109375,17.40039063,9.018554688,,
1910,19100619,14.07226563,16.26953125,10.859375,,
1910,19100620,1.259765625,14.36035156,7.168945313,,
1910,19100621,0.40234375,16.23046875,6.918945313,,
1910,19100622,3.494140625,16.74023438,8.649414063,,
1910,19100623,0.59375,17.08984375,11.07910156,,
1910,19100624,1.751953125,17.69042969,9.069335938,,
1910,19100625,6.138671875,19.16992188,12.21875,,
1910,19100626,4.045898438,19.8203125,14.52929688,,
1910,19100627,2.545898438,18.79003906,13.75878906,,
1910,19100628,6.337890625,16.54980469,8.5390625,,
1910,19100629,2.969726563,17.03027344,10.96875,,
1910,19100630,12.25195313,12.51953125,6.668945313,,
1910,19100701,12.42773438,13.77636719,5.90625,,
1910,19100702,15.76074219,16.32617188,7.40625,,
1910,19100703,18.08398438,13.64648438,9.31640625,,
1910,19100704,12.74414063,14.63574219,7.06640625,,
1910,19100705,1.583007813,14.59570313,6.616210938,,
